rank,participant,total_points,suggested_tokens,suggested_tokens_capped
1,mpp4tunru,61927,560000,500000
2,exjobless,60953,550000,500000
3,Kampred,60061,540000,500000
4,de.wi,58242,520000,500000
5,Mamase69,57707,520000,500000
6,ocank14,57522,520000,500000
7,maragung,57250,520000,500000
8,iqiyi.,57076,510000,500000
9,Hendryfan,56653,510000,500000
10,marleeehilpert,54972,500000,500000
11,scraido,54807,490000,490000
12,just.stark,52820,480000,490000
13,ahmadsa0284,50563,460000,470000
14,tianbuyung,50013,450000,470000
15,hkedia_05,49844,450000,460000
16,bos5crypto,48377,440000,450000
17,batun11,46495,420000,430000
18,parjoteno,46368,420000,430000
19,kerinci,46335,420000,430000
20,kocek3,46010,420000,430000
21,flushthefashion,45727,410000,430000
22,jack.dc,45653,410000,430000
23,darayaa06,45491,410000,420000
24,andre_wu,45070,410000,420000
25,mrprasteyo,44443,400000,410000
26,misswati,42241,380000,390000
27,dethan1527,41884,380000,390000
28,u.buntu,41820,380000,390000
29,kenoppo,41359,380000,390000
30,dirga.eth,40525,370000,380000
31,alfandra6,40155,360000,370000
32,rmgkoco,39732,360000,370000
33,kokofelix,39009,350000,360000
34,dkingtroy,38689,350000,360000
35,i.vani,37963,350000,350000
36,naamah8064,36574,330000,340000
37,ivanseventeen,36337,330000,340000
38,basri0484,34600,320000,320000
39,jenkkol,33425,310000,310000
40,respond777,32984,300000,310000
41,simpati,32184,290000,300000
42,tenluo,32061,290000,300000
43,j.script,31722,290000,300000
44,madmax0068,31595,290000,290000
45,asdeenner752_58407_90122,31413,290000,290000
46,udin_eth,31284,290000,290000
47,lhya.solscan,31138,290000,290000
48,smartfren666,30534,280000,280000
49,byd0218,30468,280000,280000
50,banditiaeja,30151,280000,280000
51,wget0,30113,280000,280000
52,coin.tool,29897,270000,280000
53,Novi28,29826,270000,280000
54,givedeny,29811,270000,280000
55,syd._,29038,270000,270000
56,mei215,28400,260000,260000
57,dendiharyawan,28150,260000,260000
58,Marc.nl,28115,260000,260000
59,angel5now,26732,250000,250000
60,baratayuda.eth,26399,240000,250000
61,panse08,26204,240000,240000
62,cbvalidator,25464,230000,240000
63,arkham.intel,25410,230000,240000
64,nisarena1,24937,230000,230000
65,why.uni,24798,230000,230000
66,Maztrilover,24762,230000,230000
67,rajaisman,24646,230000,230000
68,@antPower4,24179,220000,230000
69,asanji,24164,220000,230000
70,Aksaranft,24023,220000,220000
71,mo.bayer,23489,220000,220000
72,El_jb77,23108,210000,220000
73,makredo,22699,210000,210000
74,Sive69,22402,210000,210000
75,Bluice,22208,210000,210000
76,kipo_opik,21964,200000,200000
77,sitiustananikmah103,21437,200000,200000
78,tabascorudi4_72815,21383,200000,200000
79,_sumarno,20852,190000,190000
80,miin.min,19620,180000,180000
81,hashclover,19424,180000,180000
82,rusmanto0309,19332,180000,180000
83,cilokman123,18826,180000,180000
84,agungryzm,17400,160000,160000
85,madzalle,16705,160000,160000
86,parwito,16212,150000,150000
87,heheda_123,16194,150000,150000
88,e1emre,14952,140000,140000
89,prabuwijaya0015,14758,140000,140000
90,staples270_50098,14372,140000,130000
91,CrisF,14272,140000,130000
92,god.ai,14260,140000,130000
93,vvvvvvvanz,12449,120000,120000
94,vickyarung,12152,120000,110000
95,wiloudaz,11989,120000,110000
96,abeachmad,11505,110000,110000
97,flyingnobita,11485,110000,110000
98,gius5870,10875,110000,100000
99,hellbirdglade_26706,9904,100000,90000
100,isoe9081,7102,70000,70000
101,peterkrulis,5277,60000,50000
102,pimdij31,5228,60000,50000
103,idcuqsant,3883,40000,40000
104,Evie100,3371,40000,30000
105,freeking0987,2771,30000,30000
106,deepak059132,2237,30000,20000
107,bijanpm,1570,20000,20000
108,boiler3maker,1185,20000,10000
109,es-8,1100,20000,10000
110,trivo,951,20000,10000
111,jack84744,659,20000,10000
112,talha,550,20000,10000
113,robinbb,500,10000,10000
114,chief_oftailorz,350,10000,10000
115,mdlog123,350,10000,10000
116,rphgrc,350,10000,10000
117,andrewf.,250,10000,10000
118,BlockchainEnthusiast,250,10000,10000
119,faseris,250,10000,10000
120,georgethms1,153,10000,10000
121,Evesmithd,107,10000,10000
122,SY.Lai,100,10000,10000
123,tobf4k9,0,0,0
124,samotrenutak,0,0,0
125,rhodamnica448,0,0,0
126,domino_10111111,0,0,0
127,ucup19961,0,0,0
128,eb1234567716,0,0,0
129,rachelf06035,0,0,0
130,eviesmith7608,0,0,0
131,jeechang,0,0,0
132,aladeenictivity,0,0,0
133,daojie19,0,0,0
134,ktru,0,0,0
135,coldstar1993,0,0,0
136,chinchan,0,0,0
